LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 158341.0, 3557400, 1.0, 158391.0, 3565632, 146.0, 158421.0, 822912, -1840.0, 153540.0, 360952, -957.0, -1.0, 9408, 3908.0, 158429.0, 774431,
1, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -1840.0, 113343.0, 570176, -1840.0, 117162.0, 3391488, 12059.0, 117463.0, 186655,
2, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -1840.0, 113343.0, 570176, -1840.0, 117162.0, 3391488, 12059.0, 117463.0, 186655,
3, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -1840.0, 113343.0, 570176, -1840.0, 117162.0, 3391488, 12059.0, 117463.0, 186655,
4, 1.0, 117333.0, 3359232, 1.0, 117361.0, 3391488, 575.0, 117391.0, 198400, -1840.0, 113343.0, 570176, -1840.0, 117162.0, 3391488, 12059.0, 117463.0, 186655,
5, 1.0, 63560.0, 1806336, 1.0, 63769.0, 1843200, 575.0, 63799.0, 106752, -1840.0, 62143.0, 899991, -1840.0, 63654.0, 1843200, 12059.0, 64055.0, 100383,
6, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -1840.0, 105255.0, 539332, -1840.0, 106610.0, 3244032, 23003.0, 107231.0, 86559,
7, 1.0, 13430.0, 215296, 1.0, 13577.0, 221184, 63.0, 13607.0, 114560, -1840.0, 12298.0, 200704, -847.0, -1.0, 8192, 2331.0, 14091.0, 107679,
8, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -1840.0, 105255.0, 539332, -1840.0, 106610.0, 3244032, 23003.0, 107231.0, 86559,
9, 1.0, 106773.0, 3115008, 1.0, 106801.0, 3244032, 1151.0, 106831.0, 92160, -1840.0, 105255.0, 539332, -1840.0, 106610.0, 3244032, 23003.0, 107231.0, 86559,
10, 1.0, 67540.0, 1806336, 1.0, 67953.0, 2064384, 1151.0, 67983.0, 53760, -1840.0, 65834.0, 1175391, -1840.0, 67826.0, 2064384, 24257.0, 68399.0, 50207,
11, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -1840.0, 91880.0, 657900, -1840.0, 94434.0, 2949120, 49623.0, 95215.0, 36895,
12, 1.0, 11924.0, 230400, 1.0, 12129.0, 262144, 127.0, 12159.0, 61696, -1840.0, 11059.0, 200704, -1840.0, 6159.0, 34784, 3789.0, 12231.0, 57631,
13, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -1840.0, 91880.0, 657900, -1840.0, 94434.0, 2949120, 49623.0, 95215.0, 36895,
14, 1.0, 94593.0, 2654208, 1.0, 94609.0, 2949120, 2303.0, 94639.0, 39424, -1840.0, 91880.0, 657900, -1840.0, 94434.0, 2949120, 49623.0, 95215.0, 36895,
15, 1.0, 75658.0, 1806336, 1.0, 75681.0, 2359296, 2303.0, 75711.0, 27136, -1840.0, 73585.0, 1176133, -1840.0, 75538.0, 2359296, 56753.0, 75919.0, 25119,
16, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -1840.0, 73268.0, 882040, -1840.0, 74546.0, 2359296, 74719.0, 75118.0, 12800,
17, 1.0, 10136.0, 262144, 1.0, 10145.0, 262144, 255.0, 10175.0, 34816, -1288.0, -1.0, 12544, -1840.0, 8983.0, 145184, 5979.0, 10623.0, 32799,
18, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -1840.0, 73268.0, 882040, -1840.0, 74546.0, 2359296, 74719.0, 75118.0, 12800,
19, 1.0, 74682.0, 1843200, 1.0, 74689.0, 2359296, 4614.0, 74719.0, 13824, -1840.0, 73268.0, 882040, -1840.0, 74546.0, 2359296, 74719.0, 75118.0, 12800,
20, 1.0, 18306.0, 16384, 1.0, 18313.0, 512000, 542.0, 18343.0, 3048, -74.0, -1.0, 512, -1840.0, 17401.0, 512000, 18367.0, 18398.0, 1000,
